Route,Day,Camp,Altitude (m),Latitude (our guess),Longitude (our guess),Verified,CORRECT POSITION (guide fills in)
Marangu Route,1,Marangu Gate,1860,-3.2325,37.5175,no,
Marangu Route,1,Mandara Hut,2700,-3.1997,37.5136,no,
Marangu Route,2,Horombo Hut,3720,-3.1181,37.4869,no,
Marangu Route,3,Kibo Hut,4703,-3.07,37.395,no,
Marangu Route,4,Uhuru Peak,5895,-3.0758,37.3533,yes,
Machame Route,1,Machame Gate,1800,-3.1828,37.2536,no,
Machame Route,1,Machame Camp,2835,-3.15,37.2667,no,
Machame Route,2,Shira Camp,3750,-3.1,37.2333,no,
Machame Route,3,Lava Tower,4630,-3.075,37.31,no,
Machame Route,3,Barranco Camp,3960,-3.0958,37.3372,no,
Machame Route,4,Karanga Camp,3995,-3.1,37.3583,no,
Machame Route,5,Barafu Camp,4640,-3.0997,37.3782,yes,
Machame Route,6,Uhuru Peak,5895,-3.0758,37.3533,yes,
Machame Route,6,Mweka Camp,3100,-3.1667,37.35,no,
Lemosho Route,1,Lemosho Gate,2100,-3.0333,37.05,no,
Lemosho Route,1,Mti Mkubwa,2780,-3.0333,37.0833,no,
Lemosho Route,2,Shira 1 Camp,3505,-3.0667,37.1833,no,
Lemosho Route,3,Shira 2 Camp,3850,-3.0833,37.2167,no,
Lemosho Route,4,Barranco Camp,3960,-3.0958,37.3372,no,
Lemosho Route,5,Karanga Camp,3995,-3.1,37.3583,no,
Lemosho Route,6,Barafu Camp,4640,-3.0997,37.3782,yes,
Lemosho Route,7,Uhuru Peak,5895,-3.0758,37.3533,yes,
Lemosho Route,7,Mweka Camp,3100,-3.1667,37.35,no,
Rongai Route,1,Rongai Gate,1950,-2.9333,37.5667,no,
Rongai Route,1,Simba Camp,2625,-2.9667,37.5333,no,
Rongai Route,2,Kikelewa Camp,3600,-3.0167,37.4833,no,
Rongai Route,3,Mawenzi Tarn,4315,-3.1,37.45,no,
Rongai Route,4,Kibo Hut,4703,-3.07,37.395,no,
Rongai Route,5,Uhuru Peak,5895,-3.0758,37.3533,yes,
Rongai Route,5,Horombo Hut,3720,-3.1181,37.4869,no,
Rongai Route,6,Marangu Gate,1860,-3.2325,37.5175,no,
Umbwe Route,1,Umbwe Gate,1600,-3.2167,37.3,no,
Umbwe Route,1,Umbwe Cave Camp,2940,-3.1833,37.3,no,
Umbwe Route,2,Barranco Camp,3960,-3.0958,37.3372,no,
Umbwe Route,3,Karanga Camp,3995,-3.1,37.3583,no,
Umbwe Route,4,Barafu Camp,4640,-3.0997,37.3782,yes,
Umbwe Route,5,Uhuru Peak,5895,-3.0758,37.3533,yes,
Umbwe Route,5,Mweka Camp,3100,-3.1667,37.35,no,
Northern Circuit,1,Lemosho Gate,2100,-3.0333,37.05,no,
Northern Circuit,1,Mti Mkubwa,2780,-3.0333,37.0833,no,
Northern Circuit,2,Shira 1 Camp,3505,-3.0667,37.1833,no,
Northern Circuit,3,Shira 2 Camp,3850,-3.0833,37.2167,no,
Northern Circuit,4,Lava Tower,4630,-3.075,37.31,no,
Northern Circuit,4,Moir Hut,4200,-3.0333,37.3167,no,
Northern Circuit,5,Buffalo Camp,4020,-3.0,37.3667,no,
Northern Circuit,6,Third Cave,3800,-3.0167,37.4167,no,
Northern Circuit,7,School Hut,4800,-3.05,37.3833,no,
Northern Circuit,8,Uhuru Peak,5895,-3.0758,37.3533,yes,
Northern Circuit,8,Mweka Camp,3100,-3.1667,37.35,no,
Mount Meru,1,Momella Gate,1500,,,no,
Mount Meru,1,Miriakamba Hut,2514,,,no,
Mount Meru,2,Saddle Hut,3570,,,no,
Mount Meru,3,Socialist Peak,4566,,,no,
